ped_id,time_s,x,y,gt_x_1s,gt_y_1s,pred_x_1s,pred_y_1s
1,7.25,-0.321,1.557,-1.234,2.529,-1.499,2.232
1,7.5,-0.418,1.606,-1.37,2.47,-1.041,2.45
1,7.75,-0.602,1.887,-1.302,2.985,-1.258,2.622
1,8.0,-0.777,2.15,-1.389,3.247,-1.451,2.958
3,13.25,-1.273,2.966,-0.398,2.286,-0.058,1.739
3,13.75,-0.806,2.635,0.301,2.257,0.283,2.063
3,14.0,-0.534,2.393,0.544,2.237,0.577,1.697
3,14.25,-0.398,2.286,0.495,2.237,0.428,1.498
3,14.5,-0.233,2.266,1.253,2.091,0.44,1.572
3,15.25,0.495,2.237,2.157,2.091,0.396,1.824
4,20.5,0.981,1.674,-0.146,1.149,-0.184,1.648
4,21.25,0.029,1.334,-1.069,1.275,-1.063,1.675
4,21.5,-0.146,1.149,-1.214,1.159,-1.037,0.974
7,34.25,-0.981,2.558,-0.282,2.227,0.153,1.582
7,34.5,-0.573,2.383,0.661,2.082,1.028,1.786
7,34.75,-0.35,2.344,0.748,2.247,0.96,1.723
7,35.0,-0.243,2.286,0.699,2.237,0.527,1.764
8,41.0,0.923,2.014,-0.223,2.441,-0.609,1.892
8,41.25,0.69,2.14,-0.476,2.49,-0.432,2.49
8,41.5,0.661,2.101,-0.253,2.509,0.143,2.348
8,41.75,0.194,2.305,-0.165,2.49,-1.031,2.631
9,54.5,-1.37,1.169,-0.223,1.625,-1.043,1.641
9,54.75,-1.059,1.207,0.214,1.732,-0.152,1.617
9,55.25,-0.369,1.528,0.787,2.111,0.636,1.477
12,60.75,1.098,1.819,-0.855,2.305,-1.39,1.945
13,67.0,-1.409,3.364,0.408,2.548,0.98,1.985
17,77.75,-1.467,1.314,-0.67,1.674,-1.208,1.391
17,78.0,-1.321,1.46,-0.466,1.761,-0.975,1.435
17,78.25,-1.205,1.441,-0.35,1.625,-0.77,1.359
17,78.5,-1.263,1.411,-0.136,1.46,-1.172,1.353
17,78.75,-0.67,1.674,0.058,1.275,0.333,1.679
18,85.75,0.262,1.917,0.583,3.034,-0.466,2.321
18,88.25,1.02,3.179,0.146,2.723,0.761,3.059
18,89.0,0.223,2.985,-0.515,2.101,-0.302,3.024
18,89.25,0.146,2.723,-0.466,2.14,-0.332,2.457
18,89.5,-0.311,2.461,-1.107,1.557,-1.303,2.008
18,89.75,-0.321,2.237,-1.243,1.363,-1.057,1.488
18,90.0,-0.515,2.101,-1.273,1.382,-1.163,1.323
18,90.25,-0.466,2.14,-1.273,1.353,-0.754,1.432
18,90.5,-1.107,1.557,-1.224,1.421,-2.072,1.213
22,103.5,-0.981,2.237,-0.194,1.819,-0.189,1.425
22,103.75,-0.806,2.159,-0.214,1.819,-0.032,1.602
22,104.0,-0.641,2.091,-0.039,1.703,0.083,1.497
22,104.5,-0.194,1.819,0.155,1.839,0.338,1.462
22,104.75,-0.214,1.819,0.165,1.79,0.014,1.579
22,105.0,-0.039,1.703,0.185,1.79,0.352,1.492
22,105.5,0.155,1.839,0.194,1.849,0.561,1.598
22,105.75,0.165,1.79,0.185,1.771,0.405,1.681
22,106.0,0.185,1.79,0.204,1.761,0.296,1.717
22,106.25,0.185,1.781,0.214,1.8,0.211,1.736
22,106.5,0.194,1.849,0.204,1.761,0.206,1.857
22,106.75,0.185,1.771,0.33,1.849,0.175,1.828
22,107.0,0.204,1.761,0.389,1.819,0.231,1.757
22,107.25,0.214,1.8,0.583,1.955,0.255,1.783
22,107.5,0.204,1.761,1.127,1.849,0.212,1.765
22,107.75,0.33,1.849,1.311,1.878,0.565,1.857
22,108.0,0.389,1.819,1.185,1.878,0.691,1.898
23,114.5,1.214,2.121,0.029,2.218,-0.081,1.868
23,114.75,0.855,2.169,-0.175,2.363,-0.547,2.487
23,115.0,0.622,2.198,-0.534,2.412,-0.504,2.364
23,115.25,0.359,2.237,-0.544,2.451,-0.741,2.372
23,115.5,0.029,2.218,-0.622,2.47,-1.158,2.358
23,115.75,-0.175,2.363,-0.321,2.49,-1.211,2.517
25,129.75,-1.049,1.159,0.087,1.606,0.05,1.458
