t_ms,id,x,y,vx,vy,v,x_plus_1,y_plus_1
7250,1,-0.320571,1.557143,-1.204571,1.204571,1.703521,-1.233714,2.528571
7500,1,-0.417714,1.605714,-0.388571,0.194286,0.434436,-1.369714,2.470286
7750,1,-0.602286,1.887429,-0.738286,1.126857,1.347172,-1.301714,2.985143
8000,1,-0.777143,2.149714,-0.699429,1.049143,1.260913,-1.389143,3.247429
8250,1,-1.233714,2.528571,-1.826286,1.515429,2.373150,NaN,NaN
8500,1,-1.369714,2.470286,-0.544000,-0.233143,0.591854,NaN,NaN
8750,1,-1.301714,2.985143,0.272000,2.059429,2.077313,NaN,NaN
9000,1,-1.389143,3.247429,-0.349714,1.049143,1.105894,NaN,NaN
13250,3,-1.272571,2.965714,1.262857,-0.796571,1.493096,-0.398286,2.285714
13750,3,-0.806286,2.635429,0.932571,-0.660571,1.142823,0.301143,2.256571
14000,3,-0.534286,2.392571,1.088000,-0.971429,1.458567,0.544000,2.237143
14250,3,-0.398286,2.285714,0.544000,-0.427429,0.691832,0.495429,2.237143
14500,3,-0.233143,2.266286,0.660571,-0.077714,0.665127,1.253143,2.091429
14750,3,0.301143,2.256571,2.137143,-0.038857,2.137496,NaN,NaN
15000,3,0.544000,2.237143,0.971429,-0.077714,0.974532,NaN,NaN
15250,3,0.495429,2.237143,-0.194286,0.000000,0.194286,2.156571,2.091429
15500,3,1.253143,2.091429,3.030857,-0.582857,3.086392,NaN,NaN
16250,3,2.156571,2.091429,1.204571,0.000000,1.204571,NaN,NaN
20500,4,0.981143,1.673714,-1.191619,-0.064762,1.193378,-0.145714,1.149143
21000,4,0.359429,1.479429,-1.243429,-0.388571,1.302729,NaN,NaN
21250,4,0.029143,1.333714,-1.321143,-0.582857,1.444002,-1.068571,1.275429
21500,4,-0.145714,1.149143,-0.699429,-0.738286,1.016989,-1.214286,1.158857
22250,4,-1.068571,1.275429,-1.230476,0.168381,1.241944,NaN,NaN
22500,4,-1.214286,1.158857,-0.582857,-0.466286,0.746421,NaN,NaN
22750,4,-1.311429,1.158857,-0.388571,0.000000,0.388571,NaN,NaN
34250,7,-0.981143,2.557714,1.165714,-0.854857,1.445569,-0.281714,2.227429
34500,7,-0.573143,2.382857,1.632000,-0.699429,1.775563,0.660571,2.081714
34750,7,-0.349714,2.344000,0.893714,-0.155429,0.907129,0.748000,2.246857
35000,7,-0.242857,2.285714,0.427429,-0.233143,0.486879,0.699429,2.237143
35250,7,-0.281714,2.227429,-0.155429,-0.233143,0.280203,NaN,NaN
35500,7,0.660571,2.081714,3.769143,-0.582857,3.813943,NaN,NaN
35750,7,0.748000,2.246857,0.349714,0.660571,0.747432,NaN,NaN
36000,7,0.699429,2.237143,-0.194286,-0.038857,0.198133,NaN,NaN
41000,8,0.922857,2.013714,-1.534857,0.213714,1.549665,-0.223429,2.441143
41250,8,0.689714,2.140000,-0.932571,0.505143,1.060594,-0.476000,2.489714
41500,8,0.660571,2.101143,-0.116571,-0.155429,0.194286,-0.252571,2.509143
41750,8,0.194286,2.305143,-1.865143,0.816000,2.035832,-0.165143,2.489714
42000,8,-0.223429,2.441143,-1.670857,0.544000,1.757185,NaN,NaN
42250,8,-0.476000,2.489714,-1.010286,0.194286,1.028797,NaN,NaN
42500,8,-0.252571,2.509143,0.893714,0.077714,0.897087,NaN,NaN
42750,8,-0.165143,2.489714,0.349714,-0.077714,0.358245,NaN,NaN
54500,9,-1.369714,1.168571,0.233143,-0.038857,0.236359,-0.223429,1.625143
54750,9,-1.058857,1.207429,1.243429,0.155429,1.253105,0.213714,1.732000
55000,9,-0.680000,1.508571,1.515429,1.204571,1.935850,NaN,NaN
55250,9,-0.369143,1.528000,1.243429,0.077714,1.245855,0.786857,2.110857
55500,9,-0.223429,1.625143,0.582857,0.388571,0.700507,NaN,NaN
55750,9,0.213714,1.732000,1.748571,0.427429,1.800055,NaN,NaN
56250,9,0.786857,2.110857,1.146286,0.757714,1.374082,NaN,NaN
59500,11,-2.098286,3.441714,0.090667,0.064762,0.111421,-2.146857,3.383429
60500,11,-2.146857,3.383429,-0.048571,-0.058286,0.075871,-2.156571,3.393143
61500,11,-2.156571,3.393143,-0.009714,0.009714,0.013738,-1.690286,3.383429
62250,11,-1.389143,3.062857,1.023238,-0.440381,1.113980,NaN,NaN
62500,11,-1.690286,3.383429,-1.204571,1.282286,1.759332,NaN,NaN
60750,12,1.097714,1.819429,-2.564571,0.272000,2.578955,-0.854857,2.305143
61000,12,0.534286,1.926286,-2.253714,0.427429,2.293888,NaN,NaN
61250,12,0.145714,1.965143,-1.554286,0.155429,1.562038,NaN,NaN
61500,12,-0.340000,2.120571,-1.942857,0.621714,2.039907,NaN,NaN
61750,12,-0.854857,2.305143,-2.059429,0.738286,2.187764,NaN,NaN
67000,13,-1.408571,3.364000,2.525714,-0.116571,2.528403,0.408000,2.548000
67250,13,-1.156000,2.907429,1.010286,-1.826286,2.087102,NaN,NaN
67500,13,-0.485714,2.781143,2.681143,-0.505143,2.728314,NaN,NaN
67750,13,-0.048571,2.713143,1.748571,-0.272000,1.769601,NaN,NaN
68000,13,0.408000,2.548000,1.826286,-0.660571,1.942080,NaN,NaN
68000,14,-2.098286,3.412571,-0.025905,-0.012952,0.028962,-2.088571,3.432000
68250,14,-2.108000,3.422286,-0.038857,0.038857,0.054952,-2.088571,3.451429
68500,14,-2.098286,3.422286,0.038857,0.000000,0.038857,NaN,NaN
68750,14,-2.108000,3.432000,-0.038857,0.038857,0.054952,NaN,NaN
69000,14,-2.088571,3.432000,0.077714,0.000000,0.077714,NaN,NaN
69250,14,-2.088571,3.451429,0.000000,0.077714,0.077714,NaN,NaN
77750,17,-1.466857,1.314286,0.077714,-0.971429,0.974532,-0.670286,1.673714
78000,17,-1.321143,1.460000,0.582857,0.582857,0.824284,-0.466286,1.761143
78250,17,-1.204571,1.440571,0.466286,-0.077714,0.472718,-0.349714,1.625143
78500,17,-1.262857,1.411429,-0.233143,-0.116571,0.260662,-0.136000,1.460000
78750,17,-0.670286,1.673714,2.370286,1.049143,2.592095,0.058286,1.275429
79000,17,-0.466286,1.761143,0.816000,0.349714,0.887782,NaN,NaN
79250,17,-0.349714,1.625143,0.466286,-0.544000,0.716490,NaN,NaN
79500,17,-0.136000,1.460000,0.854857,-0.660571,1.080340,NaN,NaN
79750,17,0.058286,1.275429,0.777143,-0.738286,1.071922,NaN,NaN
85500,18,0.427429,1.547429,0.000000,0.932571,0.932571,NaN,NaN
85750,18,0.262286,1.916571,-0.660571,1.476571,1.617596,0.582857,3.033714
86000,18,0.281714,2.169143,0.077714,1.010286,1.013270,NaN,NaN
86250,18,0.398286,2.596571,0.466286,1.709714,1.772158,NaN,NaN
86750,18,0.582857,3.033714,0.369143,0.874286,0.949022,NaN,NaN
87500,18,1.010286,3.393143,0.569905,0.479238,0.744621,NaN,NaN
88250,18,1.020000,3.179429,0.012952,-0.284952,0.285247,0.145714,2.722857
89000,18,0.223429,2.985143,-1.062095,-0.259048,1.093230,-0.514857,2.101143
89250,18,0.145714,2.722857,-0.310857,-1.049143,1.094227,-0.466286,2.140000
89500,18,-0.310857,2.460571,-1.826286,-1.049143,2.106186,-1.107429,1.557143
89750,18,-0.320571,2.237143,-0.038857,-0.893714,0.894559,-1.243429,1.362857
90000,18,-0.514857,2.101143,-0.777143,-0.544000,0.948624,-1.272571,1.382286
90250,18,-0.466286,2.140000,0.194286,0.155429,0.248807,-1.272571,1.353143
90500,18,-1.107429,1.557143,-2.564571,-2.331429,3.465918,-1.224000,1.421143
90750,18,-1.243429,1.362857,-0.544000,-0.777143,0.948624,NaN,NaN
91000,18,-1.272571,1.382286,-0.116571,0.077714,0.140101,NaN,NaN
91250,18,-1.272571,1.353143,0.000000,-0.116571,0.116571,NaN,NaN
91500,18,-1.224000,1.421143,0.194286,0.272000,0.334262,NaN,NaN
93000,20,-2.739429,3.441714,0.038857,0.000000,0.038857,-2.729714,3.441714
93250,20,-2.729714,3.441714,0.038857,0.000000,0.038857,NaN,NaN
93500,20,-2.729714,3.441714,0.000000,0.000000,0.000000,NaN,NaN
93750,20,-2.729714,3.441714,0.000000,0.000000,0.000000,NaN,NaN
94000,20,-2.729714,3.441714,0.000000,0.000000,0.000000,-2.720000,3.441714
95000,20,-2.720000,3.441714,0.009714,0.000000,0.009714,-2.720000,3.441714
95500,20,-2.720000,3.441714,0.000000,0.000000,0.000000,NaN,NaN
95750,20,-2.720000,3.441714,0.000000,0.000000,0.000000,NaN,NaN
96000,20,-2.720000,3.441714,0.000000,0.000000,0.000000,NaN,NaN
97250,20,-2.729714,3.441714,-0.007771,0.000000,0.007771,NaN,NaN
101250,21,-2.749143,3.441714,-0.038857,0.000000,0.038857,-2.176000,3.441714
101500,21,-2.749143,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
101750,21,-2.749143,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
102000,21,-2.739429,3.441714,0.038857,0.000000,0.038857,-2.749143,3.441714
102250,21,-2.176000,3.441714,2.253714,0.000000,2.253714,-2.749143,3.441714
102500,21,-2.739429,3.441714,-2.253714,0.000000,2.253714,-2.749143,3.441714
102750,21,-2.739429,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
103000,21,-2.749143,3.441714,-0.038857,0.000000,0.038857,-2.739429,3.441714
103250,21,-2.749143,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
103500,21,-2.749143,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
103750,21,-2.739429,3.441714,0.038857,0.000000,0.038857,-2.739429,3.441714
104000,21,-2.739429,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
104250,21,-2.739429,3.441714,0.000000,0.000000,0.000000,-2.739429,3.441714
104500,21,-2.739429,3.441714,0.000000,0.000000,0.000000,NaN,NaN
